,Date,ContractName,rv,bv,ssj,interval,method
0,2018-01-02,ESH18,9.327617270850733e-06,8.964669436745203e-06,3.629478341055302e-07,1,naive
1,2018-01-03,ESH18,8.503321001453076e-06,7.500925897997408e-06,1.0023951034556678e-06,1,naive
2,2018-01-04,ESH18,9.851192396152306e-06,7.923275689982762e-06,1.9279167061695447e-06,1,naive
3,2018-01-05,ESH18,7.957729884994161e-06,7.492582604246785e-06,4.6514728074737654e-07,1,naive
4,2018-01-08,ESH18,7.470093419414917e-06,6.683600104666362e-06,7.864933147485553e-07,1,naive
5,2018-01-09,ESH18,1.2948030970248225e-05,1.178368712855599e-05,1.1643438416922361e-06,1,naive
6,2018-01-10,ESH18,1.5686385291725596e-05,1.518182023467334e-05,5.04565057052256e-07,1,naive
7,2018-01-11,ESH18,8.890371106639648e-06,7.612629843460677e-06,1.2777412631789712e-06,1,naive
8,2018-01-12,ESH18,1.1280943230354303e-05,1.0898055590668378e-05,3.8288763968592465e-07,1,naive
9,2018-01-16,ESH18,3.936730219747331e-05,4.0523190739049946e-05,0.0,1,naive
10,2018-01-17,ESH18,1.8488510047292602e-05,1.579059871312487e-05,2.697911334167732e-06,1,naive
11,2018-01-18,ESH18,2.241668795712435e-05,1.9652735814042804e-05,2.7639521430815454e-06,1,naive
12,2018-01-19,ESH18,1.4537239186227312e-05,1.3961914152500207e-05,5.753250337271048e-07,1,naive
13,2018-01-22,ESH18,1.4041767010661864e-05,1.303207306426424e-05,1.009693946397624e-06,1,naive
14,2018-01-23,ESH18,2.2305394323180832e-05,2.2167980953062e-05,1.3741337011883084e-07,1,naive
15,2018-01-24,ESH18,4.3010445601000255e-05,4.296948039717319e-05,4.096520382706689e-08,1,naive
16,2018-01-25,ESH18,3.7304744432550116e-05,3.575541532868291e-05,1.5493291038672067e-06,1,naive
17,2018-01-26,ESH18,1.538608409308785e-05,1.51811111715396e-05,2.0497292154825062e-07,1,naive
18,2018-01-29,ESH18,2.9837108749932642e-05,2.7034878816101077e-05,2.8022299338315654e-06,1,naive
19,2018-01-30,ESH18,4.9078542770894534e-05,4.6261707461868625e-05,2.816835309025909e-06,1,naive
20,2018-01-31,ESH18,3.865727394960391e-05,3.7380970685943806e-05,1.2763032636601009e-06,1,naive
21,2018-02-01,ESH18,4.2255720791836896e-05,3.9056554925460143e-05,3.199165866376753e-06,1,naive
22,2018-02-02,ESH18,6.680999150498981e-05,6.210114172879112e-05,4.708849776198691e-06,1,naive
23,2018-02-05,ESH18,0.0004865878111836563,0.0004634303585325265,2.315745265112979e-05,1,naive
24,2018-02-06,ESH18,0.0007398575799174767,0.0007650004804787695,0.0,1,naive
25,2018-02-07,ESH18,0.0002056615345623552,0.00021058701018107764,0.0,1,naive
26,2018-02-08,ESH18,0.0003936583203413955,0.00038659406723125385,7.0642531101416635e-06,1,naive
27,2018-02-09,ESH18,0.0006075281534556532,0.0006411226715873007,0.0,1,naive
28,2018-02-12,ESH18,0.00017376093704330942,0.00017443248874807679,0.0,1,naive
29,2018-02-13,ESH18,0.00010472831531248168,0.0001118672059864064,0.0,1,naive
30,2018-02-14,ESH18,0.00011152117516671397,0.00010653806057190746,4.983114594806507e-06,1,naive
31,2018-02-15,ESH18,6.993466509312932e-05,6.772509333721383e-05,2.209571755915486e-06,1,naive
32,2018-02-16,ESH18,8.979304546464632e-05,8.598934492892385e-05,3.803700535722466e-06,1,naive
33,2018-02-20,ESH18,6.936927675356873e-05,7.128436252281453e-05,0.0,1,naive
34,2018-02-21,ESH18,9.762241261486801e-05,9.508210452372818e-05,2.5403080911398255e-06,1,naive
35,2018-02-22,ESH18,0.00010845007270650212,9.075989782467317e-05,1.769017488182895e-05,1,naive
36,2018-02-23,ESH18,4.6553158212963075e-05,4.728766668699519e-05,0.0,1,naive
37,2018-02-26,ESH18,3.05940349145238e-05,2.9540556453050547e-05,1.0534784614732524e-06,1,naive
38,2018-02-27,ESH18,8.039002344175595e-05,7.806863941314128e-05,2.3213840286146744e-06,1,naive
39,2018-02-28,ESH18,8.046352688032593e-05,6.766261568256575e-05,1.2800911197760175e-05,1,naive
40,2018-03-01,ESH18,0.00026532051261582884,0.00026390241580438354,1.4180968114453e-06,1,naive
41,2018-03-02,ESH18,0.00015707557495366547,0.00016233902025899444,0.0,1,naive
42,2018-03-05,ESH18,8.061194152563029e-05,7.543980368139434e-05,5.172137844235955e-06,1,naive
43,2018-03-06,ESH18,7.187111718711035e-05,6.386350828147248e-05,8.007608905637872e-06,1,naive
44,2018-03-07,ESH18,7.33238277166336e-05,6.992788465616692e-05,3.395943060466677e-06,1,naive
45,2018-03-08,ESH18,4.8766546140987876e-05,4.8347191921093665e-05,4.193542198942108e-07,1,naive
46,2018-03-09,ESH18,2.515267226697272e-05,2.2234385521321522e-05,2.9182867456511983e-06,1,naive
47,2018-03-13,ESM18,6.283480477856341e-05,6.612082154329888e-05,0.0,1,naive
48,2018-03-14,ESM18,7.385386996547947e-05,7.431528936658073e-05,0.0,1,naive
49,2018-03-15,ESM18,3.5671152082269105e-05,3.410176657646367e-05,1.5693855058054377e-06,1,naive
50,2018-03-16,ESM18,2.6366241629477306e-05,2.3141509114528273e-05,3.2247325149490325e-06,1,naive
51,2018-03-19,ESM18,6.642968322852471e-05,6.199319723523249e-05,4.436485993292223e-06,1,naive
52,2018-03-20,ESM18,4.233441307572074e-05,4.082368399878331e-05,1.5107290769374306e-06,1,naive
53,2018-03-21,ESM18,7.474898027571487e-05,7.371444812219772e-05,1.0345321535171518e-06,1,naive
54,2018-03-22,ESM18,0.0001366161187044547,0.00013368606200318185,2.9300567012728552e-06,1,naive
55,2018-03-23,ESM18,0.00017219915514676837,0.0001795731385185979,0.0,1,naive
56,2018-03-26,ESM18,0.00010217356246766427,0.00010122514071658788,9.484217510763828e-07,1,naive
57,2018-03-27,ESM18,0.00018777036506236546,0.0001890570100304361,0.0,1,naive
58,2018-03-28,ESM18,0.0002790363324047429,0.00027581900583258063,3.2173265721622906e-06,1,naive
59,2018-03-29,ESM18,9.931310675060102e-05,0.00010067759855254463,0.0,1,naive
60,2018-04-02,ESM18,0.0001988523128306071,0.00018792525717118553,1.0927055659421583e-05,1,naive
61,2018-04-03,ESM18,0.00017146765069580316,0.00017264511044316793,0.0,1,naive
62,2018-04-04,ESM18,0.00014771166770549172,0.00014100490630173927,6.706761403752452e-06,1,naive
63,2018-04-05,ESM18,8.183245699516422e-05,7.826664135024486e-05,3.5658156449193596e-06,1,naive
64,2018-04-06,ESM18,0.00017403468074754402,0.00017253144644854254,1.503234299001481e-06,1,naive
65,2018-04-09,ESM18,7.556378198401643e-05,7.122167530870142e-05,4.342106675315018e-06,1,naive
66,2018-04-10,ESM18,0.00012439803666083605,0.00011665842356776548,7.739613093070576e-06,1,naive
67,2018-04-11,ESM18,7.428154854373546e-05,7.096978713366419e-05,3.3117614100712734e-06,1,naive
68,2018-04-12,ESM18,5.903965160464924e-05,5.3848123001722526e-05,5.1915286029267146e-06,1,naive
69,2018-04-13,ESM18,7.82209018707345e-05,7.933719745059189e-05,0.0,1,naive
70,2018-04-16,ESM18,4.3857874815274925e-05,4.134870837072899e-05,2.5091664445459367e-06,1,naive
71,2018-04-17,ESM18,2.6724892829904407e-05,2.36745571987846e-05,3.0503356311198065e-06,1,naive
72,2018-04-18,ESM18,2.6083595833675344e-05,2.4147957175222713e-05,1.9356386584526315e-06,1,naive
73,2018-04-19,ESM18,5.307341938539922e-05,4.9190703036092865e-05,3.882716349306358e-06,1,naive
74,2018-04-20,ESM18,4.888806481228164e-05,4.937425755043457e-05,0.0,1,naive
75,2018-04-23,ESM18,4.073289427947643e-05,4.095311628702307e-05,0.0,1,naive
76,2018-04-24,ESM18,0.00011554244357811096,0.00011137638778900909,4.166055789101868e-06,1,naive
77,2018-04-25,ESM18,9.783968473070154e-05,9.667644716040787e-05,1.163237570293667e-06,1,naive
78,2018-04-26,ESM18,4.2134846705711024e-05,3.8278857576785465e-05,3.855989128925558e-06,1,naive
79,2018-04-27,ESM18,4.5689998925533277e-05,4.007924019992128e-05,5.610758725611996e-06,1,naive
80,2018-04-30,ESM18,4.541334384655667e-05,4.1495484284144865e-05,3.917859562411804e-06,1,naive
81,2018-05-01,ESM18,5.03925310225691e-05,4.8047816446534826e-05,2.3447145760342728e-06,1,naive
82,2018-05-02,ESM18,4.767093373357045e-05,4.778314576834793e-05,0.0,1,naive
83,2018-05-03,ESM18,0.00011741615350365825,0.00010537780043426087,1.2038353069397377e-05,1,naive
84,2018-05-04,ESM18,4.069138224053414e-05,3.9174578176142144e-05,1.5168040643919966e-06,1,naive
85,2018-05-07,ESM18,3.591877088354176e-05,3.278358452614272e-05,3.1351863573990385e-06,1,naive
86,2018-05-08,ESM18,6.635570256638412e-05,6.26171704732978e-05,3.738532093086318e-06,1,naive
87,2018-05-09,ESM18,3.167721762240899e-05,3.196890890766063e-05,0.0,1,naive
88,2018-05-10,ESM18,2.5594575971389993e-05,2.6786068855861873e-05,0.0,1,naive
89,2018-05-11,ESM18,2.619704457813531e-05,2.543990806573525e-05,7.571365124000607e-07,1,naive
90,2018-05-14,ESM18,2.044695901190078e-05,1.8267790762601066e-05,2.179168249299713e-06,1,naive
91,2018-05-15,ESM18,5.3163638336944385e-05,4.984233428746117e-05,3.3213040494832133e-06,1,naive
92,2018-05-16,ESM18,2.5500735700193417e-05,2.4866649978123135e-05,6.340857220702818e-07,1,naive
93,2018-05-17,ESM18,2.5620436238870218e-05,2.457598680802301e-05,1.0444494308472088e-06,1,naive
94,2018-05-18,ESM18,2.4995812413908926e-05,2.1328219817527702e-05,3.667592596381224e-06,1,naive
95,2018-05-21,ESM18,1.9995491024443694e-05,1.9045814200532358e-05,9.496768239113362e-07,1,naive
96,2018-05-22,ESM18,2.0220669891916718e-05,1.6763301806483612e-05,3.457368085433106e-06,1,naive
97,2018-05-23,ESM18,2.953971831740901e-05,2.654848391761372e-05,2.991234399795288e-06,1,naive
